cty,name,kfr_imm_rA_gP_pall,kfr_imm_rA_gP_pall_l,kfr_imm_rA_gP_p100,kfr_imm_rA_gP_p100_l,kfr_imm_rA_gP_p75,kfr_imm_rA_gP_p75_l,kfr_imm_rA_gP_p25,kfr_imm_rA_gP_p25_l,kfr_imm_rA_gP_p1,kfr_imm_rA_gP_p1_l,kfr_imm_rA_gP_p50,kfr_imm_rA_gP_p50_l,kfr_imm_rA_gF_pall,kfr_imm_rA_gF_pall_l,kfr_imm_rA_gF_p100,kfr_imm_rA_gF_p100_l,kfr_imm_rA_gF_p75,kfr_imm_rA_gF_p75_l,kfr_imm_rA_gF_p25,kfr_imm_rA_gF_p25_l,kfr_imm_rA_gF_p1,kfr_imm_rA_gF_p1_l,kfr_imm_rA_gF_p50,kfr_imm_rA_gF_p50_l,kfr_imm_rA_gM_pall,kfr_imm_rA_gM_pall_l,kfr_imm_rA_gM_p100,kfr_imm_rA_gM_p100_l,kfr_imm_rA_gM_p75,kfr_imm_rA_gM_p75_l,kfr_imm_rA_gM_p25,kfr_imm_rA_gM_p25_l,kfr_imm_rA_gM_p1,kfr_imm_rA_gM_p1_l,kfr_imm_rA_gM_p50,kfr_imm_rA_gM_p50_l,kfr_imm_rP_gP_pall,kfr_imm_rP_gP_pall_l,kfr_imm_rP_gP_p100,kfr_imm_rP_gP_p100_l,kfr_imm_rP_gP_p75,kfr_imm_rP_gP_p75_l,kfr_imm_rP_gP_p25,kfr_imm_rP_gP_p25_l,kfr_imm_rP_gP_p1,kfr_imm_rP_gP_p1_l,kfr_imm_rP_gP_p50,kfr_imm_rP_gP_p50_l,kfr_imm_rP_gF_pall,kfr_imm_rP_gF_pall_l,kfr_imm_rP_gF_p100,kfr_imm_rP_gF_p100_l,kfr_imm_rP_gF_p75,kfr_imm_rP_gF_p75_l,kfr_imm_rP_gF_p25,kfr_imm_rP_gF_p25_l,kfr_imm_rP_gF_p1,kfr_imm_rP_gF_p1_l,kfr_imm_rP_gF_p50,kfr_imm_rP_gF_p50_l,kfr_imm_rP_gM_pall,kfr_imm_rP_gM_pall_l,kfr_imm_rP_gM_p100,kfr_imm_rP_gM_p100_l,kfr_imm_rP_gM_p75,kfr_imm_rP_gM_p75_l,kfr_imm_rP_gM_p25,kfr_imm_rP_gM_p25_l,kfr_imm_rP_gM_p1,kfr_imm_rP_gM_p1_l,kfr_imm_rP_gM_p50,kfr_imm_rP_gM_p50_l,kfr_imm_rB_gP_pall,kfr_imm_rB_gP_pall_l,kfr_imm_rB_gP_p100,kfr_imm_rB_gP_p100_l,kfr_imm_rB_gP_p75,kfr_imm_rB_gP_p75_l,kfr_imm_rB_gP_p25,kfr_imm_rB_gP_p25_l,kfr_imm_rB_gP_p1,kfr_imm_rB_gP_p1_l,kfr_imm_rB_gP_p50,kfr_imm_rB_gP_p50_l,kfr_imm_rB_gF_pall,kfr_imm_rB_gF_pall_l,kfr_imm_rB_gF_p100,kfr_imm_rB_gF_p100_l,kfr_imm_rB_gF_p75,kfr_imm_rB_gF_p75_l,kfr_imm_rB_gF_p25,kfr_imm_rB_gF_p25_l,kfr_imm_rB_gF_p1,kfr_imm_rB_gF_p1_l,kfr_imm_rB_gF_p50,kfr_imm_rB_gF_p50_l,kfr_imm_rB_gM_pall,kfr_imm_rB_gM_pall_l,kfr_imm_rB_gM_p100,kfr_imm_rB_gM_p100_l,kfr_imm_rB_gM_p75,kfr_imm_rB_gM_p75_l,kfr_imm_rB_gM_p25,kfr_imm_rB_gM_p25_l,kfr_imm_rB_gM_p1,kfr_imm_rB_gM_p1_l,kfr_imm_rB_gM_p50,kfr_imm_rB_gM_p50_l,kfr_imm_rW_gP_pall,kfr_imm_rW_gP_pall_l,kfr_imm_rW_gP_p100,kfr_imm_rW_gP_p100_l,kfr_imm_rW_gP_p75,kfr_imm_rW_gP_p75_l,kfr_imm_rW_gP_p25,kfr_imm_rW_gP_p25_l,kfr_imm_rW_gP_p1,kfr_imm_rW_gP_p1_l,kfr_imm_rW_gP_p50,kfr_imm_rW_gP_p50_l,kfr_imm_rW_gF_pall,kfr_imm_rW_gF_pall_l,kfr_imm_rW_gF_p100,kfr_imm_rW_gF_p100_l,kfr_imm_rW_gF_p75,kfr_imm_rW_gF_p75_l,kfr_imm_rW_gF_p25,kfr_imm_rW_gF_p25_l,kfr_imm_rW_gF_p1,kfr_imm_rW_gF_p1_l,kfr_imm_rW_gF_p50,kfr_imm_rW_gF_p50_l,kfr_imm_rW_gM_pall,kfr_imm_rW_gM_pall_l,kfr_imm_rW_gM_p100,kfr_imm_rW_gM_p100_l,kfr_imm_rW_gM_p75,kfr_imm_rW_gM_p75_l,kfr_imm_rW_gM_p25,kfr_imm_rW_gM_p25_l,kfr_imm_rW_gM_p1,kfr_imm_rW_gM_p1_l,kfr_imm_rW_gM_p50,kfr_imm_rW_gM_p50_l,kfr_imm_rH_gP_pall,kfr_imm_rH_gP_pall_l,kfr_imm_rH_gP_p100,kfr_imm_rH_gP_p100_l,kfr_imm_rH_gP_p75,kfr_imm_rH_gP_p75_l,kfr_imm_rH_gP_p25,kfr_imm_rH_gP_p25_l,kfr_imm_rH_gP_p1,kfr_imm_rH_gP_p1_l,kfr_imm_rH_gP_p50,kfr_imm_rH_gP_p50_l,kfr_imm_rH_gF_pall,kfr_imm_rH_gF_pall_l,kfr_imm_rH_gF_p100,kfr_imm_rH_gF_p100_l,kfr_imm_rH_gF_p75,kfr_imm_rH_gF_p75_l,kfr_imm_rH_gF_p25,kfr_imm_rH_gF_p25_l,kfr_imm_rH_gF_p1,kfr_imm_rH_gF_p1_l,kfr_imm_rH_gF_p50,kfr_imm_rH_gF_p50_l,kfr_imm_rH_gM_pall,kfr_imm_rH_gM_pall_l,kfr_imm_rH_gM_p100,kfr_imm_rH_gM_p100_l,kfr_imm_rH_gM_p75,kfr_imm_rH_gM_p75_l,kfr_imm_rH_gM_p25,kfr_imm_rH_gM_p25_l,kfr_imm_rH_gM_p1,kfr_imm_rH_gM_p1_l,kfr_imm_rH_gM_p50,kfr_imm_rH_gM_p50_l,kfr_imm_rNA_gP_pall,kfr_imm_rNA_gP_pall_l,kfr_imm_rNA_gP_p100,kfr_imm_rNA_gP_p100_l,kfr_imm_rNA_gP_p75,kfr_imm_rNA_gP_p75_l,kfr_imm_rNA_gP_p25,kfr_imm_rNA_gP_p25_l,kfr_imm_rNA_gP_p1,kfr_imm_rNA_gP_p1_l,kfr_imm_rNA_gP_p50,kfr_imm_rNA_gP_p50_l,kfr_imm_rNA_gF_pall,kfr_imm_rNA_gF_pall_l,kfr_imm_rNA_gF_p100,kfr_imm_rNA_gF_p100_l,kfr_imm_rNA_gF_p75,kfr_imm_rNA_gF_p75_l,kfr_imm_rNA_gF_p25,kfr_imm_rNA_gF_p25_l,kfr_imm_rNA_gF_p1,kfr_imm_rNA_gF_p1_l,kfr_imm_rNA_gF_p50,kfr_imm_rNA_gF_p50_l,kfr_imm_rNA_gM_pall,kfr_imm_rNA_gM_pall_l,kfr_imm_rNA_gM_p100,kfr_imm_rNA_gM_p100_l,kfr_imm_rNA_gM_p75,kfr_imm_rNA_gM_p75_l,kfr_imm_rNA_gM_p25,kfr_imm_rNA_gM_p25_l,kfr_imm_rNA_gM_p1,kfr_imm_rNA_gM_p1_l,kfr_imm_rNA_gM_p50,kfr_imm_rNA_gM_p50_l
cty53069,"Wahkiakum County, WA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty20019,"Chautauqua County, KS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty17121,"Marion County, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45002,42881,128531,287168,54905,71786,21350,29658,8291,11859,35570,46673,,,,,,,,,,,,,,49791,,1062314,,78691,,32857,,13758,,52269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36541,44438,116346,1062314,50897,89439,19199,34159,7032,13640,32466,55521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty48317,"Martin County, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61353,,94729,,75805,,59586,,51670,,67034,,,,,,,,,,,,,,63634,,241736,,92792,,59067,,44409,,74529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55630,,0,,17895,,61469,,106631,,37665,,,,,,,,,,,,,,,,,,,,,,,,,,63115,,136685,,86737,,60341,,40236,,74112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty26123,"Newaygo County, MI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38138,41424,63160,97359,45715,60342,32739,34833,27532,23175,38563,45825,43596,39588,72031,114317,53264,64986,38436,31259,33532,16893,44753,44529,36256,42615,58469,80335,41365,55679,29212,38659,23530,30156,34923,46704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36797,51965,54891,1062314,42989,82757,33695,34522,30113,15751,37784,53614,,,,,,,,,,,,,35042,,64794,,43818,,28938,,21595,,36096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty26035,"Clare County, MI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40360,37044,77799,46675,52720,39267,35436,32162,28887,28296,42983,35517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36619,,44031,,38912,,33849,,31067,,36254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty18137,"Ripley County, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37815,,70878,,44180,,23904,,13410,,33205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty13131,"Grady County, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty18095,"Madison County, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46066,37894,74590,68574,50554,48089,33876,31811,27448,23531,41203,39204,39861,41598,154115,59755,64066,48413,26925,37003,15648,31417,41453,41969,47808,33789,61959,88984,48632,50014,38929,26492,34561,14222,43454,37590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47337,35585,78178,50365,51555,39886,33940,30248,27632,25033,41371,34773,,38033,,35827,,38207,,40808,,42342,,39542,46158,32351,66360,67636,48419,43200,35405,24178,29231,14242,41623,32944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty72013,"Arecibo Municipio, PR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19406,,14544,,16175,,17973,,19031,,17097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty37145,"Person County, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32473,,27928,,30398,,33060,,34613,,31770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty31071,"Garfield County, NE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty01123,"Tallapoosa County, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63324,,61360,,63414,,65645,,66949,,64563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty01033,"Colbert County, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty48111,"Dallam County, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36206,40310,1062314,57396,189550,48961,33065,41176,8255,37115,68079,44801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40255,,41869,,39828,,37913,,35949,,38979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty72105,"Naranjito Municipio, PR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty04011,"Greenlee County, AZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44711,,411822,,69684,,26726,,7473,,44116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty30055,"McCone County, MT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty30065,"Musselshell County, MT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty72057,"Guayama Municipio, PR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty48481,"Wharton County, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46396,35029,1062314,55133,77498,43219,36288,32629,23403,27031,52551,37559,47929,44740,152879,62101,73420,52229,38407,42069,28636,37136,52087,46498,44643,31566,160455,41466,67261,34865,34310,29087,21834,25718,48193,31991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39396,36455,87625,50820,55414,42881,38108,36052,28489,29419,46140,39792,40305,42558,51974,91262,44481,61420,38964,40631,35679,24627,41585,50243,37600,34546,1062314,33986,69100,34015,34573,34042,16434,34073,50158,34025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty13193,"Macon County, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty40003,"Alfalfa County, OK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty20135,"Ness County, KS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty29105,"Laclede County, MO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38132,43513,95939,75026,52528,55135,27033,39073,17234,31335,37982,46277,,41351,,2208,,23101,,49688,,70237,,36539,,47467,,1062314,,85421,,32951,,11961,,54716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41100,,87097,,55847,,33306,,22578,,43187,,35555,,0,,17036,,48662,,75534,,32341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty01025,"Clarke County, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty39103,"Medina County, OH",100246,66070,133225,122620,97645,59803,84908,42174,76565,26159,89096,49898,,,,,,,,,,,,,,55844,,131729,,46106,,28881,,12896,,36348,51166,53847,64023,54658,52533,53774,43346,52846,39696,52326,47487,53292,54951,58604,69892,60425,56017,59371,44316,58110,40394,57424,49373,58684,49040,48801,59598,50928,49761,48907,42264,47078,38848,46008,45790,48002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45406,54824,52433,51393,46492,54069,41500,57039,39546,58804,43717,55588,50068,59483,72320,61971,50690,60123,35318,58218,29388,57148,42095,59126,42559,50357,39979,42953,42687,48821,45318,55758,46772,60119,43981,52311,,47546,,54329,,48770,,43855,,39094,,46555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty28145,"Union County, MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty37111,"McDowell County, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44381,33447,70228,29066,50183,32128,35717,35459,30101,37424,42119,33839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty13253,"Seminole County, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty26057,"Gratiot County, MI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36828,67552,77650,205256,45706,74364,24890,34531,16485,18093,34133,50743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty21019,"Boyd County, KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31728,40944,40430,50524,30469,43504,21613,36851,17770,33279,25760,39980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty18059,"Hancock County, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52277,52358,124189,72143,53277,55617,19991,41735,6511,34973,34233,48021,,55268,,58348,,54534,,50207,,47966,,52148,,51613,,86227,,55718,,35809,,25926,,45122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54021,,80075,,56188,,37639,,28841,,45873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty47105,"Loudon County, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41994,,68670,,48238,,31994,,23745,,39369,,43423,,92412,,53328,,23701,,9572,,35981,,41240,,48403,,42978,,38301,,35632,,40638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty42007,"Beaver County, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55412,51812,89876,81140,61497,57042,41997,38308,35001,29476,50386,46611,55499,53818,146118,86044,66712,59557,31155,36773,20635,26743,45004,46139,55289,49885,68076,76741,58395,54583,50858,38961,47430,31059,54401,46390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58963,56236,85554,75331,64312,58826,48783,44772,43372,38002,55377,51134,59459,55675,117957,79677,64498,58761,35809,41826,25974,33842,47660,49390,58330,55959,58890,73316,58531,59889,58196,47978,58017,42105,58364,53427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty17113,"McLean County, IL",88005,69144,121711,103126,71511,73061,53448,61774,42471,50550,59293,66962,,,,,,,,,,,,,,,,,,,,,,,,,52394,56058,69217,70120,55122,58471,44123,47970,39842,42708,49042,52799,50595,60083,87091,82887,59181,65370,38732,48274,32331,40620,47206,55528,54591,52556,61018,60172,54499,53704,49280,48224,46839,45172,51757,50946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51012,55430,73452,81489,55141,58130,41838,39752,37077,31134,47511,47905,48325,55589,74546,98978,53893,60122,38969,33840,33301,21778,45529,45140,54459,55897,69745,69024,57427,56622,47690,45628,43085,40147,52382,50673,51689,48973,92265,47386,63396,48162,46924,48917,37986,49723,54618,48493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty48011,"Armstrong County, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty01019,"Cherokee County, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
