"cz","Name","Household_Income_for_Immigrants_rP_gP_pall"
"cz33100","Dallas, TX",44794
"cz21102","Amery, WI",44716
"cz31101","Victoria, TX",44716
"cz20700","Keene, NH & VT",44706
"cz25701","Cape Girardeau, MO",44703
"cz9500","Talladega, AL",44697
"cz32604","Vernon, TX",44692
"cz35702","Burley, ID",44677
"cz800","Gastonia, NC",44618
"cz36902","Roseburg, OR",44575
"cz38300","Los Angeles, AZ & CA",44498
"cz5600","Nashville, TN",44485
"cz22900","La Crosse, MN & WI",44460
"cz20001","Bangor, ME",44456
"cz27401","Storm Lake, IA",44432
"cz7600","Jacksonville, FL & GA",44427
"cz25000","Quincy, IL & MO",44421
"cz38501","Moses Lake, WA",44271
"cz29301","Wichita, KS",44266
"cz13000","Elizabethtown, KY",44258
"cz14000","Muncie, IN",44164
"cz27802","Columbus, NE",44161
"cz36700","Eureka, CA",44143
"cz38601","Spokane, ID & WA",44113
"cz31102","La Grange, TX",44112
"cz19100","Reading, PA",44107
"cz31001","Garden City, KS",44077
"cz21201","Hutchinson, MN",44038
"cz20800","Springfield, MA",43952
"cz29204","Topeka, KS",43927
"cz11402","Marinette, MI & WI",43918
"cz21702","Austin, MN",43889
"cz12402","Grayling charter, MI",43844
"cz34601","Gillette, WY",43828
"cz30802","Lubbock, TX",43786
"cz34109","Juneau, AK",43777
"cz4401","London, KY",43747
"cz39100","Kennewick, OR & WA",43718
"cz5700","Tullahoma, TN",43697
"cz34002","Idabel, AR & OK",43644
"cz37604","Reno, NV",43631
"cz17100","Huntington, KY & OH & WV",43613
"cz25200","Henderson, KY",43598
"cz15700","Scioto, OH",43563
"cz30701","Roswell, NM",43429
"cz39302","Bellingham, WA",43416
"cz16200","Altoona, PA",43330
"cz35600","Hilo, HI",43305
"cz30200","Muskogee, OK",43275
"cz100","Johnson City, TN & VA",43262
"cz34802","Santa Fe, NM",43258
"cz9900","Tallahassee, FL",43238
"cz29700","Springfield, MO",43230
"cz6100","Gadsden, AL",43196
"cz34504","Missoula, MT",43195
"cz22300","Ottumwa, IA",43156
"cz21600","Brainerd, MN",43128
"cz2200","South Boston, VA",43085
"cz7300","Palm Bay, FL",43084
"cz30403","Okmulgee, OK",43064
"cz12302","Petoskey, MI",43059
"cz26702","Grafton, MN & ND",43039
"cz34301","Cody, WY",42998
"cz1800","Goldsboro, NC",42980
"cz32306","Eagle Pass, TX",42922
"cz1302","Florence, SC",42919
"cz34203","Great Falls, MT",42910
"cz33200","Paris, TX",42910
"cz36901","Crescent City, CA & OR",42864
"cz33601","Lawton, OK",42821
"cz39203","Bend, OR",42751
"cz31007","Dumas, TX",42739
"cz6402","Crossville, TN",42708
"cz35401","Flagstaff, AZ & UT",42697
"cz3203","Vicksburg, LA & MS",42691
"cz21801","Mason City, IA",42651
"cz9702","Americus, GA",42642
"cz500","Greensboro, NC & VA",42639
"cz32201","Huntsville, TX",42635
"cz37000","Modesto, CA",42619
"cz33400","Longview, TX",42582
"cz1203","Asheville, NC",42580
"cz29901","Joplin, KS & MO & OK",42562
"cz8503","Valdosta, GA",42562
"cz30901","Clovis, NM & TX",42455
"cz31700","Corpus Christi, TX",42449
"cz34503","Kalispell, MT",42440
"cz32305","Del Rio, TX",42375
"cz30903","Amarillo, TX",42361
"cz15100","Lorain, OH",42349
"cz11303","Colonial Beach, VA",42291
"cz5401","Bowling Green, KY",42280
"cz200","Morristown, TN",42242
"cz28401","Colorado Springs, CO",42231
"cz32501","Abilene, TX",42098
"cz26701","Bemidji, MN",42093
"cz8000","Sumter, SC",42078
"cz36301","Pocatello, ID",42055
"cz35001","Phoenix, AZ",42019
"cz37300","Chico, CA",41972
"cz34801","Las Vegas, NM",41938
"cz23600","Burlington, IA & IL & MO",41879
"cz1900","Jacksonville, NC",41872
"cz39303","Port Angeles, WA",41829
"cz12800","Washington, IN",41787
"cz28001","Sioux City, IA & NE & SD",41761
"cz37100","Bakersfield, CA",41700
"cz29005","Hutchinson, KS",41686
"cz7500","Deltona, FL",41659
"cz29001","Pratt, KS",41618
"cz10900","Pensacola, FL",41589
"cz4102","Pine Bluff, AR",41572
"cz25103","Harrison, AR",41564
"cz35701","Twin Falls, ID",41517
"cz18500","Amsterdam, NY",41517
"cz27903","Grand Island, NE",41493
"cz25102","West Plains, AR & MO",41486
"cz7000","Miami, FL",41439
"cz21101","Rice Lake, WI",41436
"cz6700","Tampa, FL",41412
"cz36402","Vernal, UT",41388
"cz27502","Creston, IA",41336
"cz12301","Traverse City, MI",41312
"cz29401","Ottawa, KS",41248
"cz38902","Newport, OR",41246
"cz32602","Graham, TX",41222
"cz7100","Port St. Lucie, FL",41157
"cz32900","Killeen, TX",41151
"cz39000","Yakima, WA",41133
"cz2800","Laurel, MS",41083
"cz29602","Eldon, MO",41080
"cz6900","Sarasota, FL",41063
"cz21900","Marshalltown, IA",41061
"cz36800","Medford, OR",41049
"cz33500","Texarkana, AR & TX",41041
"cz27702","Cheyenne, NE & WY",41027
"cz27801","Columbus-Norfolk, NE",40995
"cz31103","Gonzales, TX",40951
"cz21502","Pine City, MN",40946
"cz17501","Cumberland, MD & WV",40894
"cz9600","LaGrange, AL & GA",40818
"cz13900","Center, IN",40764
"cz33700","Ardmore, OK",40718
"cz33300","Tyler, TX",40709
"cz34110","Sitka, AK",40684
"cz30300","Fayetteville, AR & MO & OK",40669
"cz2700","Gulfport, MS",40649
"cz34102","Anchorage, AK",40589
"cz35801","Boise City, ID",40542
"cz36600","Redding, CA",40531
"cz34902","Socorro, NM",40492
"cz37901","Las Vegas, AZ & NV",40389
"cz3901","Monroe, LA",40376
"cz14400","Terre Haute, IN",40363
"cz26101","Moberly, MO",40355
"cz31301","San Antonio, TX",40331
"cz6301","McMinnville, TN",40297
"cz38502","Wenatchee, WA",40266
"cz29104","Salina, KS",40244
"cz9701","Columbus, AL & GA",40229
"cz20002","Calais, ME",40201
"cz7700","Lake City, FL",40151
"cz25800","Blytheville, AR & MO",40125
"cz24702","Mexico, MO",40088
"cz10600","Jasper, AL",40079
