cty,name,kfr_native_rA_gP_pall,kfr_native_rA_gP_pall_l,kfr_native_rA_gP_p100,kfr_native_rA_gP_p100_l,kfr_native_rA_gP_p75,kfr_native_rA_gP_p75_l,kfr_native_rA_gP_p25,kfr_native_rA_gP_p25_l,kfr_native_rA_gP_p1,kfr_native_rA_gP_p1_l,kfr_native_rA_gP_p50,kfr_native_rA_gP_p50_l,kfr_native_rA_gF_pall,kfr_native_rA_gF_pall_l,kfr_native_rA_gF_p100,kfr_native_rA_gF_p100_l,kfr_native_rA_gF_p75,kfr_native_rA_gF_p75_l,kfr_native_rA_gF_p25,kfr_native_rA_gF_p25_l,kfr_native_rA_gF_p1,kfr_native_rA_gF_p1_l,kfr_native_rA_gF_p50,kfr_native_rA_gF_p50_l,kfr_native_rA_gM_pall,kfr_native_rA_gM_pall_l,kfr_native_rA_gM_p100,kfr_native_rA_gM_p100_l,kfr_native_rA_gM_p75,kfr_native_rA_gM_p75_l,kfr_native_rA_gM_p25,kfr_native_rA_gM_p25_l,kfr_native_rA_gM_p1,kfr_native_rA_gM_p1_l,kfr_native_rA_gM_p50,kfr_native_rA_gM_p50_l,kfr_native_rP_gP_pall,kfr_native_rP_gP_pall_l,kfr_native_rP_gP_p100,kfr_native_rP_gP_p100_l,kfr_native_rP_gP_p75,kfr_native_rP_gP_p75_l,kfr_native_rP_gP_p25,kfr_native_rP_gP_p25_l,kfr_native_rP_gP_p1,kfr_native_rP_gP_p1_l,kfr_native_rP_gP_p50,kfr_native_rP_gP_p50_l,kfr_native_rP_gF_pall,kfr_native_rP_gF_pall_l,kfr_native_rP_gF_p100,kfr_native_rP_gF_p100_l,kfr_native_rP_gF_p75,kfr_native_rP_gF_p75_l,kfr_native_rP_gF_p25,kfr_native_rP_gF_p25_l,kfr_native_rP_gF_p1,kfr_native_rP_gF_p1_l,kfr_native_rP_gF_p50,kfr_native_rP_gF_p50_l,kfr_native_rP_gM_pall,kfr_native_rP_gM_pall_l,kfr_native_rP_gM_p100,kfr_native_rP_gM_p100_l,kfr_native_rP_gM_p75,kfr_native_rP_gM_p75_l,kfr_native_rP_gM_p25,kfr_native_rP_gM_p25_l,kfr_native_rP_gM_p1,kfr_native_rP_gM_p1_l,kfr_native_rP_gM_p50,kfr_native_rP_gM_p50_l,kfr_native_rB_gP_pall,kfr_native_rB_gP_pall_l,kfr_native_rB_gP_p100,kfr_native_rB_gP_p100_l,kfr_native_rB_gP_p75,kfr_native_rB_gP_p75_l,kfr_native_rB_gP_p25,kfr_native_rB_gP_p25_l,kfr_native_rB_gP_p1,kfr_native_rB_gP_p1_l,kfr_native_rB_gP_p50,kfr_native_rB_gP_p50_l,kfr_native_rB_gF_pall,kfr_native_rB_gF_pall_l,kfr_native_rB_gF_p100,kfr_native_rB_gF_p100_l,kfr_native_rB_gF_p75,kfr_native_rB_gF_p75_l,kfr_native_rB_gF_p25,kfr_native_rB_gF_p25_l,kfr_native_rB_gF_p1,kfr_native_rB_gF_p1_l,kfr_native_rB_gF_p50,kfr_native_rB_gF_p50_l,kfr_native_rB_gM_pall,kfr_native_rB_gM_pall_l,kfr_native_rB_gM_p100,kfr_native_rB_gM_p100_l,kfr_native_rB_gM_p75,kfr_native_rB_gM_p75_l,kfr_native_rB_gM_p25,kfr_native_rB_gM_p25_l,kfr_native_rB_gM_p1,kfr_native_rB_gM_p1_l,kfr_native_rB_gM_p50,kfr_native_rB_gM_p50_l,kfr_native_rW_gP_pall,kfr_native_rW_gP_pall_l,kfr_native_rW_gP_p100,kfr_native_rW_gP_p100_l,kfr_native_rW_gP_p75,kfr_native_rW_gP_p75_l,kfr_native_rW_gP_p25,kfr_native_rW_gP_p25_l,kfr_native_rW_gP_p1,kfr_native_rW_gP_p1_l,kfr_native_rW_gP_p50,kfr_native_rW_gP_p50_l,kfr_native_rW_gF_pall,kfr_native_rW_gF_pall_l,kfr_native_rW_gF_p100,kfr_native_rW_gF_p100_l,kfr_native_rW_gF_p75,kfr_native_rW_gF_p75_l,kfr_native_rW_gF_p25,kfr_native_rW_gF_p25_l,kfr_native_rW_gF_p1,kfr_native_rW_gF_p1_l,kfr_native_rW_gF_p50,kfr_native_rW_gF_p50_l,kfr_native_rW_gM_pall,kfr_native_rW_gM_pall_l,kfr_native_rW_gM_p100,kfr_native_rW_gM_p100_l,kfr_native_rW_gM_p75,kfr_native_rW_gM_p75_l,kfr_native_rW_gM_p25,kfr_native_rW_gM_p25_l,kfr_native_rW_gM_p1,kfr_native_rW_gM_p1_l,kfr_native_rW_gM_p50,kfr_native_rW_gM_p50_l,kfr_native_rH_gP_pall,kfr_native_rH_gP_pall_l,kfr_native_rH_gP_p100,kfr_native_rH_gP_p100_l,kfr_native_rH_gP_p75,kfr_native_rH_gP_p75_l,kfr_native_rH_gP_p25,kfr_native_rH_gP_p25_l,kfr_native_rH_gP_p1,kfr_native_rH_gP_p1_l,kfr_native_rH_gP_p50,kfr_native_rH_gP_p50_l,kfr_native_rH_gF_pall,kfr_native_rH_gF_pall_l,kfr_native_rH_gF_p100,kfr_native_rH_gF_p100_l,kfr_native_rH_gF_p75,kfr_native_rH_gF_p75_l,kfr_native_rH_gF_p25,kfr_native_rH_gF_p25_l,kfr_native_rH_gF_p1,kfr_native_rH_gF_p1_l,kfr_native_rH_gF_p50,kfr_native_rH_gF_p50_l,kfr_native_rH_gM_pall,kfr_native_rH_gM_pall_l,kfr_native_rH_gM_p100,kfr_native_rH_gM_p100_l,kfr_native_rH_gM_p75,kfr_native_rH_gM_p75_l,kfr_native_rH_gM_p25,kfr_native_rH_gM_p25_l,kfr_native_rH_gM_p1,kfr_native_rH_gM_p1_l,kfr_native_rH_gM_p50,kfr_native_rH_gM_p50_l,kfr_native_rNA_gP_pall,kfr_native_rNA_gP_pall_l,kfr_native_rNA_gP_p100,kfr_native_rNA_gP_p100_l,kfr_native_rNA_gP_p75,kfr_native_rNA_gP_p75_l,kfr_native_rNA_gP_p25,kfr_native_rNA_gP_p25_l,kfr_native_rNA_gP_p1,kfr_native_rNA_gP_p1_l,kfr_native_rNA_gP_p50,kfr_native_rNA_gP_p50_l,kfr_native_rNA_gF_pall,kfr_native_rNA_gF_pall_l,kfr_native_rNA_gF_p100,kfr_native_rNA_gF_p100_l,kfr_native_rNA_gF_p75,kfr_native_rNA_gF_p75_l,kfr_native_rNA_gF_p25,kfr_native_rNA_gF_p25_l,kfr_native_rNA_gF_p1,kfr_native_rNA_gF_p1_l,kfr_native_rNA_gF_p50,kfr_native_rNA_gF_p50_l,kfr_native_rNA_gM_pall,kfr_native_rNA_gM_pall_l,kfr_native_rNA_gM_p100,kfr_native_rNA_gM_p100_l,kfr_native_rNA_gM_p75,kfr_native_rNA_gM_p75_l,kfr_native_rNA_gM_p25,kfr_native_rNA_gM_p25_l,kfr_native_rNA_gM_p1,kfr_native_rNA_gM_p1_l,kfr_native_rNA_gM_p50,kfr_native_rNA_gM_p50_l
cty20025,"Clark County, KS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57074,60427,41064,78257,49666,67084,62908,48015,72673,38686,55448,57997,66928,57307,79981,75119,72207,63421,63297,44367,58298,35598,67889,53965,47952,62526,17482,82097,34692,71314,64137,52062,92521,42023,46322,62555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55819,59079,38127,77186,48588,65346,63766,46074,76500,35496,55678,55836,65381,57491,71124,76049,67042,62083,62501,40598,59555,29662,64725,50947,47688,60414,23653,69585,38102,65119,59788,56736,80770,51100,47733,61333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty54031,"Hardy County, WV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39333,44780,70679,78065,50456,59920,31316,32914,20776,19551,40934,46556,43638,48267,75744,67302,54321,57343,34577,41029,24474,33229,44222,49319,34397,41347,60150,88025,44369,62681,28067,27163,18343,8297,36604,45286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39441,45410,74064,76647,50915,59534,31295,34468,19414,20453,40464,46842,44077,48472,81697,62792,55577,55377,34106,42884,21970,35972,43832,49129,34202,42379,60945,88977,44299,62903,28816,28275,18681,7236,36372,45486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty21141,"Logan County, KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45876,45681,96405,75285,60866,59160,31694,34514,16977,22304,45684,47062,45757,46615,101133,75024,60865,59343,29849,35766,14763,24865,44376,47411,45949,44672,89852,75423,60099,58917,33656,33147,19926,19499,46711,46677,25792,24717,63431,38657,37482,31326,23532,24197,15310,19328,30698,27812,26767,25163,117594,32950,46132,28629,21828,24982,8407,22591,34144,26853,26833,24119,43012,55275,32243,38901,24757,22701,20046,11996,28564,30689,48469,48038,100329,77905,62422,61002,34131,36061,18668,22330,46744,48365,48181,48335,100930,76243,61720,60499,33083,37078,17661,25070,45646,48271,48767,47658,96439,78179,62481,60754,35831,34990,21021,19743,47989,48138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty20095,"Kingman County, KS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53871,56012,81058,73597,61783,63905,42756,47121,33151,38726,52222,55946,55138,57733,76281,65753,61366,61886,46113,54661,38421,50858,53687,58488,52848,54332,85238,80956,62776,65222,40914,39813,29814,27130,51883,53152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54662,57423,78290,76946,61852,66008,46312,47895,37445,37838,53629,57132,55119,58641,73779,69234,60705,63753,47993,53901,40663,48275,53962,58909,54048,56172,80675,83481,61827,67162,44345,42048,34338,27960,52637,54934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty48487,"Wilbarger County, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45532,46046,91314,85873,61268,65986,35111,36582,22060,22840,47762,51276,47077,45945,79393,106459,58465,75508,38810,36849,29083,21028,48372,55006,44003,46199,104279,76547,63512,61243,31076,36742,14721,24113,46752,49636,18805,40245,43841,42554,28094,42256,17982,41955,12031,41747,23262,42108,,41452,,1062314,,114404,,43382,,18064,,71473,,38941,,0,,10124,,37828,,64150,,23426,52415,50300,101198,86881,66915,66519,40111,37413,26077,22115,52138,51546,54539,50156,82921,116284,63945,78761,46526,36647,36994,17761,54546,55547,49999,50047,119138,73673,67621,59929,33907,38499,15894,25778,48872,49603,33576,41616,34858,122855,33850,73835,32814,33607,32134,11558,33317,50638,32389,40533,42926,103249,36562,67554,30711,34634,26938,17502,33490,48588,34904,42136,26611,133093,31216,78718,36428,34238,40005,7390,33819,53359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty29227,"Worth County, MO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46843,55281,108721,78237,67824,66780,35908,47336,20791,37870,51014,57491,44447,48537,124957,88105,68414,67735,31652,38361,14828,25678,48420,52569,48646,61699,103888,71396,68992,66599,39239,57137,24958,51594,53767,62442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47297,54959,116375,78236,68893,66643,36774,47611,20169,37146,50875,57285,44362,49128,122442,89206,67311,68514,33077,39131,15504,25019,47741,52877,49374,61525,109711,72747,69545,67247,39828,57078,24272,50370,53265,62633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty47159,"Smith County, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45791,49031,81350,72439,57790,60068,36002,39943,24825,30017,46726,50350,44793,53927,84063,86626,58249,69313,35306,43054,23966,31697,46338,55969,46754,45283,78356,62986,57186,53660,36696,37485,25849,28546,47035,46271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47175,50730,86230,73520,59612,61315,37415,41905,25069,31139,47546,51686,46332,56230,92900,88160,61484,71463,36629,46093,23319,33830,47677,58279,47956,46430,81407,64674,58297,54677,38172,38353,26596,28164,47597,46984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty51113,"Madison County, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42899,47240,102370,80870,58480,61763,25258,33550,7381,19821,41186,47722,52344,48610,108146,96178,64610,68875,32121,33074,16756,17594,47177,49978,35090,45536,87353,69638,51658,56024,21716,33982,3338,22057,36847,45721,28941,29608,143589,80351,49407,46691,20739,23481,3512,8763,34763,34637,,,,,,,,,,,,,,,,,,,,,,,,,45176,49018,112017,82744,60194,62898,26463,34625,6658,19244,41398,48399,56443,49955,112540,99483,66001,70423,34397,33612,17992,16059,48071,50345,36498,47910,100926,70688,54678,57451,22418,36818,1100,24301,37339,47546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty13007,"Baker County, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23288,33204,42736,55047,32752,45212,20987,28525,13978,19138,27253,37441,30290,31878,52126,48019,41100,41614,29304,30216,22548,24090,35342,36217,16435,33680,28844,64487,22993,50391,15517,27716,10690,14829,19530,39935,18560,28557,0,37318,8573,32205,19315,27179,26051,23755,13967,29725,,29940,,67396,,43580,,28280,,18965,,35825,,26518,,24908,,26355,,28119,,29376,,27224,38123,39252,107716,80679,58377,57484,25436,26143,5528,7482,40140,41487,,35391,,44999,,39365,,29241,,23031,,34439,,41850,,115384,,72324,,25839,,8,,48036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty16021,"Boundary County, ID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43524,47839,64817,68555,52584,57573,39794,39457,32817,30315,46319,48898,42579,48602,62471,66476,51032,56593,39168,40420,32823,32654,45137,48639,44582,47248,63246,70425,52230,58679,40254,38920,33502,28479,46504,49499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44726,49354,59921,70539,50909,59153,41828,40953,36183,30688,46215,50166,44509,49990,59329,69081,51148,58384,42867,41250,37800,32180,46824,49649,44398,49130,59351,71801,50359,59815,41200,40584,35381,29095,45700,50631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty27013,"Blue Earth County, MN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56678,57821,80583,76720,62064,63883,43593,42845,34243,32689,52807,53709,58133,59014,84770,78166,64300,65198,44524,44374,34977,34952,54170,54803,55322,56642,77260,75333,60013,62572,42316,41166,33020,30172,51339,52566,,30319,,89011,,53040,,28952,,14820,,40222,,,,,,,,,,,,,,,,,,,,,,,,,57614,58672,82876,76977,62981,64312,44843,44071,34755,33024,53287,54264,59089,59931,85807,78198,64921,65719,46105,45752,35954,35608,54724,55476,56227,57462,80558,75794,61196,62955,43395,42392,33215,30384,51822,53094,45785,43368,77292,81943,49935,59121,29972,34009,18394,18516,39024,45299,45484,43099,81909,60940,53889,50124,34329,37080,23336,29198,43006,43117,,44163,,764733,,87897,,29777,,0,,53599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty13181,"Lincoln County, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35829,39635,64476,68812,46802,53132,29507,29245,19661,16673,38318,41581,38285,43633,80392,79394,53715,59534,30447,31338,18358,18177,41730,45077,33100,35994,52425,58170,41084,46749,28483,27402,20798,16027,35169,37994,26226,27173,75215,51464,41946,37711,25575,25702,16087,17740,33854,31690,26965,33754,123308,149774,51886,63152,28173,31243,15977,14871,39903,45666,25542,22965,50485,37832,35292,31736,25388,24694,19234,19760,30387,28237,44384,47085,57784,74235,48590,56388,39357,30701,33572,15893,43822,43430,49600,49314,72300,78167,55089,60187,39523,34305,30631,20945,46726,46573,40739,44570,45200,68702,42451,52510,39338,28478,37198,13244,40910,40992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty28097,"Montgomery County, MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35951,40485,96569,89083,59150,64739,29058,30991,13742,14961,43511,47624,37711,43967,117025,111981,65735,75267,30413,32843,13925,15369,46634,52450,34179,37776,89207,75754,55998,57201,27678,29135,12458,14098,41737,43841,27239,27904,88073,58167,45440,40396,26101,25830,15204,16367,35742,33025,29352,29107,1062314,69826,63672,44309,27528,28201,10505,18447,44430,36117,26077,26623,52747,52356,35506,38775,24494,24936,17682,15665,30047,31762,46100,54052,86937,98000,59529,72637,36872,38543,24258,21434,47196,54881,44961,58467,76809,121415,56594,82410,38842,39890,28884,21362,46977,59093,46560,50359,94421,80083,61376,63450,35249,38317,20583,23851,47197,51160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty17123,"Marshall County, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50254,54448,81976,76489,55610,62238,32081,39581,19681,28640,43643,51187,50505,56049,81651,79692,56641,64466,34323,40963,23123,30475,45100,52583,50001,52702,83885,73398,54987,60283,29327,38603,15386,27324,42156,50125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52196,54738,85489,77248,57745,62532,35009,39952,22127,27676,45391,51192,52393,55889,83304,80206,58366,64388,37432,40523,25918,28634,46894,51915,52021,53571,87975,73946,57132,60738,32433,39912,17978,27612,43849,50732,,41994,,69671,,48554,,24965,,8601,,35970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty55135,"Waupaca County, WI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51177,55480,80226,73698,58551,61572,38024,41650,27550,31884,48166,51964,53086,55622,84536,71517,61124,60793,39551,43234,29111,35008,49965,52119,49349,55374,75893,75459,55774,62167,36156,40106,25638,28780,46097,51819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51772,55765,82512,74067,59120,61762,38955,42190,27666,31368,48240,52052,53423,55873,86136,71177,61339,60863,40275,44080,28935,35246,49789,52329,50168,55647,78628,76425,56623,62463,37344,40565,26093,27811,46414,51896,44604,46845,101803,103232,61476,61288,34982,23422,21179,7,46477,39966,43991,39793,106074,84020,61106,51758,33995,20993,19623,761,45594,34797,,57829,,141421,,77153,,29637,,53,,49812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty29027,"Callaway County, MO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45074,45319,81690,73152,54779,56661,30926,31727,18236,19017,42664,44459,44418,46984,76092,77770,53268,59507,32588,33026,21866,20723,42685,45988,45678,43750,87204,69616,56413,54427,29527,30450,15111,17205,42886,43200,28473,29858,81881,66056,39147,44508,19050,27916,6613,17398,29326,35990,,32609,,30818,,31334,,31779,,32072,,31550,31207,28987,130118,70687,45953,47369,15659,26972,0,14151,30329,36690,46998,47123,84674,74359,56238,57672,33192,33212,19906,19275,43731,45340,46543,48448,79244,78809,55280,60303,35153,33847,23770,20181,44312,46361,47389,45906,89765,70695,57345,55518,31771,32640,16833,18417,43558,44489,,25017,,24575,,25354,,26568,,27504,,25961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty31017,"Brown County, NE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51126,54932,95239,77937,68626,67025,44069,48319,32341,39135,56091,58126,56617,55805,95279,85205,71558,70658,49175,47513,38621,37275,60114,59104,46883,54113,89837,73803,64225,64843,40091,48596,28034,39930,52099,57456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52549,54449,104376,75217,71415,65253,45166,48512,31636,39082,57086,57090,58103,55647,103587,85997,74382,71247,50252,48151,37831,36751,61234,59360,48451,53461,97099,70114,67511,62295,42858,48659,29628,40176,54242,55962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty45021,"Cherokee County, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34637,38911,60087,63596,43338,50249,26515,29169,16697,17789,35182,40196,36013,38508,69443,62382,47100,49524,26659,29532,15493,19366,36836,39698,33399,39264,53128,64961,40398,51047,26415,28642,17848,15925,33838,40698,25841,27665,52155,42252,33960,33553,23143,25312,16615,19722,28757,29470,25279,28925,45197,48839,31269,36219,23162,26709,18410,20645,27477,31517,26387,26354,54139,39870,34997,32454,22915,24010,15541,18128,29019,28252,38136,42581,63405,66271,45322,52437,29018,31465,18653,18927,36814,42067,40017,40582,76586,63354,50168,50281,28642,30349,15834,19068,38543,40145,36425,44639,52919,68561,41278,54441,29597,32872,21799,19343,35374,44105,,50745,,50556,,50622,,50723,,50802,,50673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty02105,"Hoonah-Angoon Census Area, AK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31351,44470,78024,69883,43815,55333,14542,32771,0,21181,29516,44389,32591,41414,100103,74194,47069,56018,8476,29826,0,17215,27863,42756,29988,47561,63331,70453,40195,57554,17277,36355,1658,25073,29441,47653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44448,55591,73723,78534,52241,62798,33699,39009,22660,26125,42356,50794,,51756,,58055,,57307,,55850,,54930,,56616,,57932,,175772,,80159,,20612,,0,,48081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34136,,41972,,37495,,31508,,27689,,34364,,,,,,,,,,,,,,,,,,,,,,,,
cty31083,"Harlan County, NE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50439,63661,103145,73466,67339,68674,37748,59492,23729,54369,51878,64504,49522,63089,125319,75944,72146,69807,36553,58618,20769,52886,52881,64504,51340,64230,92617,73757,64700,68676,39055,58693,26320,52843,51734,64299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52432,64824,102535,69981,67607,67419,40481,62493,26345,59231,52645,65147,52571,64344,110821,72261,69386,68504,39657,61479,24729,57256,52649,65110,52562,65347,91465,67332,65085,66181,42401,63890,29991,62213,52934,65174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty51051,"Dickenson County, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39841,44366,66099,67803,49947,56308,33930,37572,25121,28062,42047,47317,39742,46585,67741,88028,50743,66847,34345,36720,25688,23617,42481,51235,39923,42360,64771,53069,49430,47929,33717,38205,24804,32482,41850,43620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39581,45466,67644,68282,49982,56905,34110,38854,24484,28532,41613,48000,39607,48201,68707,88356,50737,67768,34767,38545,25364,24430,42187,52217,39518,42904,68619,53978,49868,48547,33053,38863,22610,32394,41114,44123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty48235,"Irion County, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41870,52255,12983,61671,29687,55368,55749,44066,79492,38041,40534,50113,,72628,,81190,,73539,,59867,,52994,,67022,,36035,,34961,,35176,,35639,,35944,,35371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57706,,60066,,58923,,56691,,55178,,57898,,80201,,79603,,78206,,75489,,73775,,76908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty47181,"Wayne County, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37984,46512,62266,76907,47419,61029,32419,36527,23976,24612,40082,48993,38302,45865,73187,87909,51169,65495,31078,34261,20438,20462,40952,49249,37532,47150,53253,69631,44065,58008,33703,38457,27545,28071,39193,48931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38534,47429,64476,79225,48109,62326,33162,37267,23944,23642,40274,49620,39296,47067,76252,92419,52470,67867,32579,34899,20993,18882,41692,50090,37851,47635,56201,70773,45074,58549,34019,39103,26869,27400,39454,49255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty48295,"Lipscomb County, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62619,60786,96347,79477,75573,70131,54899,53538,44503,45115,65358,62364,66374,53653,68055,63098,68311,58481,68634,50060,68831,45713,68464,54479,60361,66722,105660,93111,75812,79665,48760,56648,35825,44855,62337,69156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65651,60842,87564,72618,74091,66955,60554,56639,52376,50287,67102,62080,67623,52721,70410,58224,67885,55379,65036,50099,63141,46926,66438,52818,65038,68032,93024,87407,75427,77652,58440,60727,48400,50177,66697,69852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty18161,"Union County, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46810,49802,59656,72517,50364,58936,40237,37370,34557,26686,45462,48463,49410,50830,56108,70753,51733,59338,46654,40970,43757,32368,49283,50225,44181,48889,68386,74913,50730,58724,33152,33339,23282,19883,42185,46683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47004,51107,62827,71406,51275,59023,40055,39560,33205,28632,45432,49365,49891,52476,61344,67935,53004,58871,44570,43908,39436,35877,48599,51310,44726,50066,68068,76798,50649,59752,34787,34477,25022,19380,42397,47399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty21199,"Pulaski County, KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38096,39727,86806,68288,54799,53808,27781,31370,13522,19650,41002,42966,41263,42654,91171,74993,58388,58783,31264,34636,17737,23402,44150,46551,35244,36985,83094,63281,51761,49815,24526,27925,8938,15394,38287,39755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39348,40417,88684,67978,55278,53808,29499,32419,14551,19805,41246,43186,42626,43293,90541,73400,58466,58408,33447,35993,19613,24288,44600,46757,36286,37684,87123,64259,52366,50195,25598,28643,8892,14680,38133,39986,,26462,,38610,,33807,,26726,,21402,,30227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
